Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
454,Cristian Pavón\Cristian-Pavon,ar ARG,FW,LA Galaxy,23,1996,11,11,971,3,4,0,0,1,0,0.28,0.37,0.65,0.28,0.65,2.8,2.8,3.8,0.26,0.35,0.61,0.26,0.61
455,PC\PC,br BRA,FWDF,Vancouver,24,1994,18,9,814,0,1,0,0,4,0,0,0.11,0.11,0,0.11,0.6,0.6,0.7,0.07,0.07,0.14,0.07,0.14
456,Marquinhos Pedroso\Marquinhos-Pedroso,br BRA,DF,FC Dallas,25,1993,2,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
457,Marquinhos Pedroso\Marquinhos-Pedroso,br BRA,DF,D.C. United,25,1993,4,3,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.03,0.05,0.02,0.05
458,Ronaldo Peña\Ronaldo-Pena,ve VEN,FWMF,Houston,21,1997,4,2,159,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.1,0.08,0.05,0.13,0.08,0.13
459,Cristian Penilla\Cristian-Penilla,ec ECU,MFFW,New England,27,1991,30,18,1784,6,5,0,0,2,0,0.3,0.25,0.55,0.3,0.55,6.6,6.6,4.7,0.33,0.24,0.57,0.33,0.57
460,Ricardo Pepi\Ricardo-Pepi,us USA,MFFW,FC Dallas,16,2003,7,0,78,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.7,0.41,0.82,1.23,0.41,1.23
461,Dion Pereira\Dion-Pereira,eng ENG,FWDF,Atlanta,19,1999,18,7,671,0,1,0,0,0,0,0,0.13,0.13,0,0.13,0.2,0.2,1.1,0.03,0.15,0.18,0.03,0.18
462,Mauricio Pereyra\Mauricio-Pereyra,uy URU,MFFW,Orlando City,28,1990,6,5,392,0,2,0,0,1,0,0,0.46,0.46,0,0.46,0.1,0.1,1.5,0.02,0.34,0.36,0.02,0.36
463,Adrien Perez\Adrien-Perez,us USA,FW,Los Angeles FC,23,1995,12,1,215,1,0,0,0,0,0,0.42,0,0.42,0.42,0.42,1.5,1.5,0.2,0.64,0.07,0.71,0.64,0.71
464,Javier Pérez\Javier-Perez,es ESP,MF,Los Angeles FC,22,1996,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.18,0.34,0.16,0.34
465,Joshua Pérez\Joshua-Perez,us USA,FWMF,Los Angeles FC,21,1998,13,4,457,1,1,0,0,0,0,0.2,0.2,0.39,0.2,0.39,2.5,2.5,0.4,0.5,0.07,0.57,0.5,0.57
466,Ignacio Piatti\Ignacio-Piatti,ar ARG,FW,Montreal,33,1985,11,9,754,3,1,0,0,1,0,0.36,0.12,0.48,0.36,0.48,2,2,0.9,0.24,0.11,0.35,0.24,0.35
467,Fafà Picault\Fafa-Picault,us USA,FW,Philadelphia,27,1991,32,21,1862,4,4,0,0,4,0,0.19,0.19,0.39,0.19,0.39,7,7,2.8,0.34,0.13,0.47,0.34,0.47
