Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
43,Michael Barrios\Michael-Barrios,co COL,FWMF,FC Dallas,23,1991,26,19,1746,7,2,0,0,0,0,0.36,0.1,0.46,0.36,0.46
44,Chad Barson\Chad-Barson,us USA,DF,Columbus,23,1991,10,4,460,0,1,0,0,2,0,0,0.2,0.2,0,0.2
45,DaMarcus Beasley\DaMarcus-Beasley,us USA,DFFW,Houston,32,1982,28,28,2372,1,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08
46,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,32,1982,26,26,2334,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08
47,Steven Beitashour\Steven-Beitashour,ir IRN,DFMF,Vancouver,27,1987,27,27,2423,0,4,0,0,5,0,0,0.15,0.15,0,0.15
48,Kyle Bekker\Kyle-Bekker,ca CAN,MF,Montreal,24,1990,3,2,165,1,0,0,0,0,0,0.55,0,0.55,0.55,0.55
49,Kyle Bekker\Kyle-Bekker,ca CAN,MF,FC Dallas,24,1990,8,2,316,0,1,0,0,1,0,0,0.28,0.28,0,0.28
50,Tony Beltran\Tony-Beltran,us USA,DF,Real Salt Lake,27,1987,31,31,2772,0,2,0,0,7,0,0,0.06,0.06,0,0.06
51,Joe Bendik\Joe-Bendik,us USA,GK,Toronto FC,25,1989,13,13,1170,0,0,0,0,1,0,0,0,0,0,0
52,Víctor Bernárdez\Victor-Bernardez,hn HON,DF,San Jose,32,1982,29,29,2505,0,0,0,0,6,1,0,0,0,0,0
53,Patrice Bernier\Patrice-Bernier,ca CAN,MF,Montreal,35,1979,20,6,683,0,1,0,0,1,1,0,0.13,0.13,0,0.13
54,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,27,1987,32,32,2829,0,3,0,0,5,1,0,0.1,0.1,0,0.1
55,David Bingham\David-Bingham,us USA,GK,San Jose,25,1989,34,34,3060,0,0,0,0,3,0,0,0,0,0,0
56,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,24,1991,22,21,1822,2,0,0,0,5,0,0.1,0,0.1,0.1,0.1
57,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,24,1990,6,6,540,0,0,0,0,0,0,0,0,0,0,0
58,Luke Boden\Luke-Boden,eng ENG,DF,Orlando City,26,1988,25,24,2240,1,3,0,0,6,0,0.04,0.12,0.16,0.04,0.16
59,Nat Borchers\Nat-Borchers,us USA,DF,Portland,33,1981,31,31,2790,3,0,0,0,0,0,0.1,0,0.1,0.1,0.1
60,Bobby Boswell\Bobby-Boswell,us USA,DF,D.C. United,31,1983,34,33,2976,2,0,0,0,5,0,0.06,0,0.06,0.06,0.06
61,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,27,1987,25,25,2250,5,5,0,0,3,0,0.2,0.2,0.4,0.2,0.4
62,Connor Brandt\Connor-Brandt,us USA,MF,NYCFC,22,1992,1,0,10,0,0,0,0,0,0,0,0,0,0,0
63,Jeb Brovsky\Jeb-Brovsky,us USA,DFMF,NYCFC,26,1988,15,12,1132,0,1,0,0,2,0,0,0.08,0.08,0,0.08
64,Deshorn Brown\Deshorn-Brown,jm JAM,FW,Colorado,24,1990,1,0,3,0,0,0,0,0,0,0,0,0,0,0
65,Will Bruin\Will-Bruin,us USA,FW,Houston,25,1989,33,28,2404,11,0,0,0,2,0,0.41,0,0.41,0.41,0.41
66,Edson Buddle\Edson-Buddle,us USA,FW,LA Galaxy,33,1981,12,1,261,0,0,0,0,1,0,0,0,0,0,0
67,Teal Bunbury\Teal-Bunbury,us USA,FWMF,New England,24,1990,30,20,1787,4,4,0,0,6,0,0.2,0.2,0.4,0.2,0.4
68,Marc Burch\Marc-Burch,us USA,DF,Colorado,30,1984,8,8,720,0,0,0,0,3,0,0,0,0,0,0
69,Bobby Burling\Bobby-Burling,us USA,DF,Colorado,30,1984,21,21,1958,2,0,0,0,9,1,0.09,0,0.09,0.09,0.09
70,Jon Busch\Jon-Busch,us USA,GK,Chicago,38,1976,12,12,1080,0,0,0,0,0,0,0,0,0,0,0
71,Evan Bush\Evan-Bush,us USA,GK,Montreal,28,1986,31,31,2790,0,0,0,0,2,0,0,0,0,0,0
72,Marco Bustos\Marco-Bustos,ca CAN,MF,Vancouver,18,1996,1,0,30,0,0,0,0,0,0,0,0,0,0,0
73,Víctor Cabrera\Victor-Cabrera,ar ARG,DF,Montreal,21,1993,21,20,1729,0,0,0,0,4,0,0,0,0,0,0
74,Scott Caldwell\Scott-Caldwell,us USA,MF,New England,23,1991,34,32,2881,2,4,0,0,3,0,0.06,0.12,0.19,0.06,0.19
75,Steven Caldwell\Steven-Caldwell,sco SCO,DF,Toronto FC,34,1980,2,2,135,0,0,0,0,0,0,0,0,0,0,0
76,Javier Calle\Javier-Calle,co COL,FWMF,NYCFC,23,1991,12,7,541,1,0,0,0,2,0,0.17,0,0.17,0.17,0.17
77,Hassoun Camara\Hassoun-Camara,sn SEN,DF,Montreal,30,1984,9,5,481,0,0,0,0,1,1,0,0,0,0,0
78,Sergio Campbell\Sergio-Campbell,jm JAM,DF,Columbus,23,1992,1,1,90,0,0,0,0,0,0,0,0,0,0,0
79,Servando Carrasco\Servando-Carrasco,us USA,MF,Orlando City,26,1988,12,10,901,0,1,0,0,3,0,0,0.1,0.1,0,0.1
80,Servando Carrasco\Servando-Carrasco,us USA,MF,Sporting KC,26,1988,9,6,508,0,0,0,0,1,0,0,0,0,0,0
81,Fred Carreiro\Fred-Carreiro,br BRA,FWMF,Philadelphia,35,1979,6,0,88,0,0,0,0,1,1,0,0,0,0,0
82,Brian Carroll\Brian-Carroll,us USA,MF,Philadelphia,33,1981,22,21,1817,0,0,0,0,2,0,0,0,0,0,0
83,Conor Casey\Conor-Casey,us USA,FW,Philadelphia,33,1981,14,2,351,3,0,0,0,2,0,0.77,0,0.77,0.77,0.77
84,Fabián Castillo\Fabian-Castillo,co COL,FWMF,FC Dallas,22,1992,30,28,2553,9,8,0,0,1,0,0.32,0.28,0.6,0.32,0.6
85,Cordell Cato\Cordell-Cato,tt TRI,DFFW,San Jose,22,1992,28,18,1820,3,2,0,0,0,0,0.15,0.1,0.25,0.15,0.25
86,Darwin Cerén\Darwin-Ceren,sv SLV,MF,Orlando City,25,1989,26,25,2254,2,2,0,0,6,0,0.08,0.08,0.16,0.08,0.16
87,Jay Chapman\Jay-Chapman,ca CAN,MF,Toronto FC,21,1994,10,1,208,0,0,0,0,0,0,0,0,0,0,0
88,Diego Chará\Diego-Chara,co COL,MF,Portland,28,1986,28,28,2479,2,0,0,0,8,1,0.07,0,0.07,0.07,0.07
89,Benoît Cheyrou\Benoit-Cheyrou,fr FRA,MF,Toronto FC,33,1981,28,28,2403,1,6,0,0,5,0,0.04,0.22,0.26,0.04,0.26
90,Laurent Ciman\Laurent-Ciman,be BEL,DF,Montreal,29,1985,27,27,2406,2,2,0,0,9,3,0.07,0.07,0.15,0.07,0.15
91,Ezequiel Cirigliano\Ezequiel-Cirigliano,ar ARG,MF,FC Dallas,23,1992,7,5,431,0,0,0,0,0,0,0,0,0,0,0
92,Ricardo Clark\Ricardo-Clark,us USA,MF,Houston,31,1983,30,30,2567,8,1,0,0,5,0,0.28,0.04,0.32,0.28,0.32
93,Steve Clark\Steve-Clark,us USA,GK,Columbus,28,1986,34,34,3060,0,0,0,0,2,0,0,0,0,0,0
94,Greg Cochrane\Greg-Cochrane,us USA,DF,Chicago,24,1990,4,4,333,0,0,0,0,0,0,0,0,0,0,0
95,Răzvan Cociș\Razvan-Cocis,ro ROU,MF,Chicago,31,1983,26,22,2004,2,3,0,0,2,0,0.09,0.13,0.22,0.09,0.22
96,Aurélien Collin\Aurelien-Collin,fr FRA,DF,Orlando City,28,1986,28,27,2406,2,1,0,0,3,1,0.07,0.04,0.11,0.07,0.11
97,Kenny Cooper\Kenny-Cooper,us USA,FW,Montreal,30,1984,1,0,5,0,0,0,0,0,0,0,0,0,0,0
